Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de vélo moyenne,Cadence de vélo maximale,Vitesse moyenne,Vitesse max,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Cadence de vélo moyenne,Cadence de vélo maximale,Normalized Power® (NP®),Equilibre G/D,Training Stress Score® (TSS®),Puissance moyenne maximale (20 min),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de mouvements,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Course à pied,2023-02-17 11:38:03,false,"Marseille Course à pied","8,97","503","00:52:48","141","185","3,1","167","244","5:53","5:20","101","99","1,02","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","52:47.86.4","1","0,0","--","--","--","00:52:42","00:52:51","49","145"
Vélo d'intérieur,2023-02-16 11:26:00,false,"Malakoff Vélo d'intérieur","30,00","656","01:02:32","134","158","3,7","--","--","28,8","11,5","119","117","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","01:02:32.12.2","1","0,0","--","--","--","00:01:46","01:02:32","67","187"
Vélo d'intérieur,2023-02-15 07:42:00,false,"FSM 6X4 min HT","28,00","685","01:08:31","141","172","3,7","--","--","24,5","--","--","--","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","01:00.00","20","0,0","--","--","--","00:00:00","01:08:31","--","--"
Cyclisme sur route,2023-02-13 12:12:33,false,"Marseille - FSM 6X4min","28,23","769","01:08:12","135","162","3,6","--","--","24,8","58,7","576","574","0,00","0,0","0,0","0","74","132","191","51% G / 49% D","91,4","190","178","435","0,0","0,0","4857","0","0","0","0:00","14,0","0:00","Non","00:40.19.9","20","20,0","34","18","43","01:06:46","01:08:12","56","264"
Cyclisme sur route,2023-02-12 13:02:00,false,"Marseille Cyclisme sur route","100,46","2.556","03:41:47","147","174","5,0","--","--","27,2","62,1","1.635","1.635","0,00","0,0","0,0","0","86","125","193","53% G / 47% D","305,9","209","184","631","0,0","0,0","18085","0","0","0","0:00","10,0","0:00","Non","03:41:46.53","1","18,0","35","20","49","03:41:41","03:45:33","6","476"
Vélo d'intérieur,2023-02-11 17:58:00,false,"Vélo elliptique","0,00","328","00:46:54","111","128","1,7","--","--","--","--","--","--","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","15,0","0:00","Non","46:53.79.7","1","20,0","28","18","37","00:00:00","00:46:54","--","--"
Cyclisme sur route,2023-02-10 07:48:24,false,"Marseille - FSM 6X4min","59,53","1.593","02:29:19","140","169","4,8","--","--","23,9","61,7","1.131","1.142","0,00","0,0","0,0","0","77","130","185","53% G / 47% D","187,9","208","176","584","0,0","0,0","10396","0","0","0","0:00","-5,0","0:00","Non","01:00.00","20","15,0","33","19","44","02:26:21","02:29:19","35","358"
Cyclisme sur route,2023-02-08 11:25:44,false,"Marseille - FSM 6X4min","34,96","965","01:27:47","137","165","3,9","--","--","23,9","57,4","721","738","0,00","0,0","0,0","0","76","138","185","53% G / 47% D","107,3","192","172","504","0,0","0,0","6399","0","0","0","0:00","10,0","0:00","Non","00:12.41.1","21","19,0","33","15","43","01:27:43","01:28:36","53","337"
Cyclisme sur route,2023-02-06 08:42:57,false,"Marseille Cyclisme sur route","86,57","2.333","03:19:27","148","169","5,0","--","--","26,0","57,7","1.443","1.454","0,00","0,0","0,0","0","87","131","199","53% G / 47% D","288,7","224","188","766","0,0","0,0","16254","0","0","0","0:00","6,0","0:00","Non","03:19:26.95.6","1","16,0","36","21","46","03:19:21","03:21:44","11","450"
Cyclisme sur route,2023-02-04 13:55:28,false,"Marseille Cyclisme sur route","65,46","1.733","02:34:13","146","176","5,0","--","--","25,5","67,6","1.230","1.232","0,00","0,0","0,0","0","85","126","195","53% G / 47% D","215,9","217","180","613","0,0","0,0","12339","0","0","0","0:00","15,0","0:00","Non","02:34:13.38.4","1","20,0","35","17","52","02:34:00","02:35:50","38","406"
