"DateTime";"Fatigue court terme Coggan";"Condition physique Coggan";"Forme Coggan";"Charge Coggan"
"2022-04-20 00:00:00";98,14174406605825;73;-9;211,23852658206306
"2022-04-21 00:00:00";84,14711599547933;72;-25;
"2022-04-22 00:00:00";112,11336890489252;77;-12;280,26928670842676
"2022-04-23 00:00:00";96,1264418893352;75;-35;
"2022-04-24 00:00:00";95,16039130296906;75;-21;89,35170740379853
"2022-04-25 00:00:00";104,58651171520424;77;-20;161,2640342413814
"2022-04-26 00:00:00";99,65461069470463;77;-27;70
"2022-04-27 00:00:00";85,44425377204777;75;-23;
"2022-04-28 00:00:00";95,40288262072505;77;-10;155,28228010519908
"2022-04-29 00:00:00";110,94974065277589;80;-18;204,4301289553792
"2022-04-30 00:00:00";95,12874246552458;78;-31;
"2022-05-01 00:00:00";81,56375661474507;76;-17;
"2022-05-02 00:00:00";91,85976218055792;78;-5;153,76774360508418
"2022-05-03 00:00:00";78,76092010675644;76;-14;
"2022-05-04 00:00:00";73,42706171938023;76;-2;41,35555555555556
"2022-05-05 00:00:00";62,95665049063222;74;2;
"2022-05-06 00:00:00";68,01873128335643;74;11;98,45608892484688
"2022-05-07 00:00:00";103,70633320093678;80;6;318,28929767945584
"2022-05-08 00:00:00";88,91821652824179;78;-24;
"2022-05-09 00:00:00";89,26539572433337;79;-11;91,35292016138173
"2022-05-10 00:00:00";76,53650013945114;77;-11;
"2022-05-11 00:00:00";73,74948348557025;76;0;56,99166666666666
"2022-05-12 00:00:00";63,23309617658617;74;2;
"2022-05-13 00:00:00";63,50660375691286;74;11;65,15115436385446
"2022-05-14 00:00:00";102,43489615636277;80;11;336,503534459727
"2022-05-15 00:00:00";87,82808142325825;78;-22;
"2022-05-16 00:00:00";88,23124110589677;79;-9;90,6553658778158
"2022-05-17 00:00:00";75,64981191658572;77;-9;
"2022-05-18 00:00:00";64,86244522103084;75;1;
"2022-05-19 00:00:00";55,613314738841275;73;10;
"2022-05-20 00:00:00";47,68307401458564;72;18;
"2022-05-21 00:00:00";89,53444772181578;78;24;341,1790344983734
"2022-05-22 00:00:00";76,76718637655048;76;-12;
"2022-05-23 00:00:00";65,82048646217442;74;-1;
"2022-05-24 00:00:00";62,201962323226155;73;8;40,44444444444445
"2022-05-25 00:00:00";73,64110933387244;75;11;142,4225893088793
"2022-05-26 00:00:00";73,7292657887231;75;1;74,25933428319519
"2022-05-27 00:00:00";63,215761444073024;73;1;
"2022-05-28 00:00:00";85,88898672601039;77;10;222,21890619002176
"2022-05-29 00:00:00";73,64155383160042;75;-9;
"2022-05-30 00:00:00";75,53871523835898;75;1;86,9459966717451
"2022-05-31 00:00:00";87,79888887144502;77;0;161,51705041350664
"2022-06-01 00:00:00";82,40891545828694;77;-10;50
"2022-06-02 00:00:00";87,90924664234932;78;-6;120,98172301146954
"2022-06-03 00:00:00";75,37373260159217;76;-10;
"2022-06-04 00:00:00";71,92823747423986;75;1;51,21111111111111
"2022-06-05 00:00:00";61,67155270871618;74;3;
"2022-06-06 00:00:00";52,877430993162974;72;12;
"2022-06-07 00:00:00";45,337316568673714;70;19;
"2022-06-08 00:00:00";38,87239291019845;68;25;
"2022-06-09 00:00:00";47,71023561647094;69;30;100,8505528584816
"2022-06-10 00:00:00";54,50147932402134;70;21;95,33597446964133
"2022-06-11 00:00:00";46,72978197245765;68;15;
"2022-06-12 00:00:00";87,57297762793009;74;21;333,1555758301931
"2022-06-13 00:00:00";84,48480457136651;74;-13;65,91618987905628
"2022-06-14 00:00:00";72,43760254899361;72;-10;
"2022-06-15 00:00:00";70,05524312532701;72;0;55,730555555555554
"2022-06-16 00:00:00";60,06564001339294;70;2;
"2022-06-17 00:00:00";66,48449086534418;71;10;105,07985649226929
"2022-06-18 00:00:00";93,34323132563915;76;5;254,8398811548917
"2022-06-19 00:00:00";102,38844660799084;78;-18;156,77565688107126
"2022-06-20 00:00:00";103,28430875972711;78;-25;108,67096255416357
"2022-06-21 00:00:00";88,55637111836711;76;-25;
"2022-06-22 00:00:00";86,73513652173885;76;-12;75,78438898600113
"2022-06-23 00:00:00";74,36704598265482;75;-10;
"2022-06-24 00:00:00";77,69344890441076;75;0;97,69449581277061
"2022-06-25 00:00:00";66,61466758373328;73;-3;
"2022-06-26 00:00:00";93,92090110431792;78;7;258,10824412394766
"2022-06-27 00:00:00";80,5281486979224;76;-16;
"2022-06-28 00:00:00";69,04515029633345;74;-5;
"2022-06-29 00:00:00";65,82990412191293;73;5;46,49722222222222
"2022-06-30 00:00:00";62,24766658292794;73;8;40,708333333333336
"2022-07-01 00:00:00";72,47197320270863;74;10;133,9488420961912
"2022-07-02 00:00:00";62,13775385329285;72;2;
"2022-07-03 00:00:00";86,25145019508281;76;10;231,24265631496266
"2022-07-04 00:00:00";73,95233143053561;74;-10;
"2022-07-05 00:00:00";63,40701879959311;73;0;
"2022-07-06 00:00:00";62,14602313197161;72;9;54,56388888888888
"2022-07-07 00:00:00";53,2842437935879;70;10;
"2022-07-08 00:00:00";59,31366690859026;71;17;95,56747541891097
"2022-07-09 00:00:00";60,57209701232681;71;12;68,13880499322292
"2022-07-10 00:00:00";108,7862237648722;79;10;398,6888704094391
"2022-07-11 00:00:00";93,27373460666615;77;-30;
"2022-07-12 00:00:00";95,35999546718557;78;-16;107,90429701929487
"2022-07-13 00:00:00";81,76203384468681;76;-18;
"2022-07-14 00:00:00";70,1030882569631;74;-6;
"2022-07-15 00:00:00";60,10666261677047;72;4;
"2022-07-16 00:00:00";87,00781395106091;76;12;248,75947253907216
"2022-07-17 00:00:00";74,60084067922215;75;-11;
"2022-07-18 00:00:00";63,96305317102874;73;0;
"2022-07-19 00:00:00";54,8944576999489;71;9;0,3666666666666667
"2022-07-20 00:00:00";47,06672317212325;69;16;
"2022-07-21 00:00:00";40,35519290981803;68;22;
"2022-07-22 00:00:00";60,8822341452251;70;27;184,3075449979723
"2022-07-23 00:00:00";52,200666163359635;69;10;
"2022-07-24 00:00:00";74,50907213991623;72;17;208,64540044505966
"2022-07-25 00:00:00";63,88437046577222;70;-2;
"2022-07-26 00:00:00";54,77470961045064;69;7;
"2022-07-27 00:00:00";46,96405069087547;67;14;
"2022-07-28 00:00:00";40,26716112200626;66;20;
"2022-07-29 00:00:00";47,78233034679802;66;25;92,96965603312107
"2022-07-30 00:00:00";40,96875730596351;65;18;
"2022-07-31 00:00:00";73,22514133164933;69;24;267,1768258291014
"2022-08-01 00:00:00";62,78352315883334;68;-4;
"2022-08-02 00:00:00";66,13340750133301;68;5;86,27564385932283
"2022-08-03 00:00:00";56,70304277907745;67;2;
"2022-08-04 00:00:00";48,617411107103166;65;10;
"2022-08-05 00:00:00";54,99633489904761;66;16;93,3516264823606
"2022-08-06 00:00:00";47,15407308190357;64;11;
"2022-08-07 00:00:00";76,33821256852033;69;17;251,81705760988044
"2022-08-08 00:00:00";76,91353305114754;69;-8;80,37282894254628
"2022-08-09 00:00:00";65,94596467453003;67;-8;
"2022-08-10 00:00:00";67,90472372507251;68;1;79,68238042319543
"2022-08-11 00:00:00";58,22177625138417;66;0;
"2022-08-12 00:00:00";49,91957913841909;64;8;
"2022-08-13 00:00:00";42,80124279612033;63;14;
"2022-08-14 00:00:00";36,69795331833117;61;20;
"2022-08-15 00:00:00";47,455851316266894;63;25;112,1411066967183
"2022-08-16 00:00:00";55,093015871108264;63;15;101,01387696379001
"2022-08-17 00:00:00";47,236967726256616;62;8;
"2022-08-18 00:00:00";61,50196915526193;64;15;147,27479025979108
"2022-08-19 00:00:00";65,62415613232798;65;2;90,41010570989909
"2022-08-20 00:00:00";82,3957931366656;67;-1;183,24055137679576
"2022-08-21 00:00:00";70,64647595771007;66;-15;
"2022-08-22 00:00:00";76,17449564839956;67;-5;109,41345789818364
"2022-08-23 00:00:00";88,61734462444352;69;-9;163,4338992924869
"2022-08-24 00:00:00";75,98085858658933;67;-19;
"2022-08-25 00:00:00";70,2040897006512;67;-8;35,46944444444445
"2022-08-26 00:00:00";60,193261650429505;65;-3;
"2022-08-27 00:00:00";92,31664161706573;70;5;285,46859725225204
"2022-08-28 00:00:00";79,15265032620205;69;-22;
"2022-08-29 00:00:00";85,23664122195014;70;-10;121,81855572786209
"2022-08-30 00:00:00";73,08223023977247;68;-15;
"2022-08-31 00:00:00";68,933633784609;68;-5;43,988888888888894
"2022-09-01 00:00:00";59,10396776889436;66;-1;
"2022-09-02 00:00:00";50,675973602982424;65;7;
"2022-09-03 00:00:00";43,449778374468195;63;14;
"2022-09-04 00:00:00";37,25401026492162;62;20;
"2022-09-05 00:00:00";31,941734405587102;60;24;
"2022-09-06 00:00:00";27,38696826413229;59;28;
"2022-09-07 00:00:00";30,754094046407147;58;31;51,00000000000001
"2022-09-08 00:00:00";33,17051382166523;58;28;47,7
"2022-09-09 00:00:00";43,46924732949603;59;25;105,39363136595712
"2022-09-10 00:00:00";37,27070302326444;58;16;
"2022-09-11 00:00:00";71,43721829378538;63;21;276,8741694675016
"2022-09-12 00:00:00";81,27916763463845;65;-8;140,45699277080408
"2022-09-13 00:00:00";69,6890768760375;63;-16;
"2022-09-14 00:00:00";72,07753442386948;64;-6;86,4388888888889
"2022-09-15 00:00:00";61,799560498447306;62;-8;
"2022-09-16 00:00:00";52,98718537376151;61;1;
"2022-09-17 00:00:00";66,79063933578651;63;8;149,78826069613228
"2022-09-18 00:00:00";57,26655592973488;62;-4;
"2022-09-19 00:00:00";64,2218583540641;63;4;106,0428082879953
"2022-09-20 00:00:00";55,06407304854128;61;-2;
"2022-09-21 00:00:00";47,21215203675612;60;6;
"2022-09-22 00:00:00";40,47988418831331;58;12;
"2022-09-23 00:00:00";48,17563414005728;59;18;94,4487584128637
"2022-09-24 00:00:00";41,305977519724664;58;11;
"2022-09-25 00:00:00";64,78441579546286;61;16;205,9559323957976
"2022-09-26 00:00:00";55,54641200354945;60;-4;
"2022-09-27 00:00:00";47,62571134714388;58;4;
"2022-09-28 00:00:00";40,834471561845056;57;11;
"2022-09-29 00:00:00";35,011635953971535;56;16;
"2022-09-30 00:00:00";30,019113883153807;54;21;
"2022-10-01 00:00:00";25,738505893139685;53;24;
"2022-10-02 00:00:00";22,068295826112077;52;27;
"2022-10-03 00:00:00";18,9214433305005;50;30;
"2022-10-04 00:00:00";16,223319667743322;49;32;
"2022-10-05 00:00:00";13,909937864915792;48;33;
"2022-10-06 00:00:00";11,92643524065702;47;34;
"2022-10-07 00:00:00";10,22577231695253;46;35;
