Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de vélo moyenne,Cadence de vélo maximale,Vitesse moyenne,Vitesse max,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Cadence de vélo moyenne,Cadence de vélo maximale,Normalized Power® (NP®),Equilibre G/D,Training Stress Score® (TSS®),Puissance moyenne maximale (20 min),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de coups de pédale,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Cyclisme sur route,2023-07-31 11:25:40,false,"Marseille - PMA 4x5X3030","30,84","765","01:17:22","132","167","3,7","--","--","23,9","50,7","567","555","0,00","0,0","0,0","0","79","126","199","53% G / 47% D","76,2","212","179","760","0,0","0,0","5045","0","0","0","0:00","28,0","0:00","Non","00:20.74","46","36,0","31","14","45","01:16:00","01:18:58","45","304"
Cyclisme sur route,2023-07-30 06:55:54,false,"Marseille Cyclisme sur route","120,18","2.674","04:23:46","142","172","5,0","--","--","27,3","71,4","1.499","1.488","0,00","0,0","0,0","0","81","126","186","52% G / 48% D","227,3","207","179","629","0,0","0,0","18458","0","0","0","0:00","21,0","0:00","Non","04:23:45.88","1","37,0","34","14","48","04:23:23","04:53:57","93","452"
Course à pied,2023-07-27 09:26:30,false,"Agde Course à pied","11,46","693","01:18:12","142","185","3,3","161","244","6:49","4:40","190","190","0,91","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","01:18:12.01","1","0,0","--","--","--","01:17:41","01:31:18","--","116"
Course à pied,2023-07-26 10:21:45,false,"Agde Course à pied","10,01","615","00:53:54","155","171","4,4","170","181","5:23","4:33","38","37","1,09","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","53:53.88","1","0,0","--","--","--","00:53:41","00:54:07","-3","12"
Course à pied,2023-07-24 10:43:51,false,"Agde Course à pied","9,81","575","00:51:44","152","171","4,4","168","176","5:17","4:44","34","32","1,13","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","51:44.17","1","0,0","--","--","--","00:51:44","00:51:44","-3","12"
Autre,2023-07-23 15:08:05,false,"Agde Autre","0,16","33","00:07:55,1","89","110","1,1","108","122","1,2","11,1","--","9","0,19","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","07:55.06","1","0,0","--","--","--","00:02:35","00:07:55,1","-9","--"
Cyclisme sur route,2023-07-20 07:14:51,false,"Marseille Cyclisme sur route","58,41","1.543","02:33:11","136","169","4,5","--","--","22,9","64,6","1.224","1.224","0,00","0,0","0,0","0","75","129","184","53% G / 47% D","129,9","201","178","651","0,0","0,0","9777","0","0","0","0:00","24,0","0:00","Non","02:33:11.02","1","33,0","33","17","48","02:32:58","02:52:18","6","362"
Cyclisme sur route,2023-07-19 07:49:56,false,"Marseille Cyclisme sur route","65,34","1.631","02:36:41","142","169","4,9","--","--","25,0","64,5","1.186","1.178","0,00","0,0","0,0","0","84","121","186","53% G / 47% D","134,6","228","173","593","0,0","0,0","11846","0","0","0","0:00","28,0","0:00","Non","04:44.36","4","32,0","34","17","52","02:36:39","02:36:41","37","397"
Cyclisme sur route,2023-07-18 07:39:57,false,"Marseille - Test PMA","25,36","606","01:00:46","143","178","3,6","--","--","25,0","56,0","449","449","0,00","0,0","0,0","0","85","117","208","52% G / 48% D","65,5","188","173","475","0,0","0,0","4482","0","0","0","0:00","23,0","0:00","Non","00:03.00","4","29,0","35","20","49","01:00:27","01:00:46","54","326"
Cyclisme sur route,2023-07-14 06:43:36,false,"Agde Cyclisme sur route","120,52","2.804","04:19:41","143","168","5,0","--","--","27,8","53,3","1.181","1.180","0,00","0,0","0,0","0","87","121","179","53% G / 47% D","208,7","198","172","488","0,0","0,0","21304","0","0","0","0:00","17,0","0:00","Non","04:19:41.41","1","34,0","35","18","48","04:19:28","04:22:25","3","399"
