Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Vitesse moyenne,Vitesse max,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Cadence de vélo moyenne,Cadence de vélo maximale,Normalized Power® (NP®),Equilibre G/D,Training Stress Score® (TSS®),Puissance moyenne maximale (20 min),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de mouvements,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Cyclisme sur route,2023-06-26 07:16:38,false,"Marseille - Seuil prog 3x8-1","37,09","948","01:26:14","140","172","4,1","25,8","57,3","733","725","0,00","0,0","0,0","0","79","121","214","53% G / 47% D","98,4","207","190","595","0,0","0,0","6048","0","0","0","0:00","22,0","0:00","Non","01:00.00","11","28,0","35","22","54","01:26:10","01:26:14","48","326"
Cyclisme sur route,2023-06-24 06:36:57,false,"Marseille Cyclisme sur route","157,91","4.262","06:28:04","144","166","5,0","24,4","61,9","3.219","3.210","0,00","0,0","0,0","0","81","118","195","53% G / 47% D","369,0","230","192","481","0,0","0,0","27046","0","0","0","0:00","19,0","0:00","Non","06:28:04.10","1","40,0","34","15","47","06:27:48","06:40:09","35","729"
Vélo d'intérieur,2023-06-22 07:10:00,false,"Malakoff - Seuil prog 3x7-1","28,00","670","00:57:51","152","195","5,0","29,0","14,8","1.634","1.563","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","01:00.00","11","0,0","--","--","--","00:11:41","00:57:51","29","193"
Vélo d'intérieur,2023-06-21 19:00:00,false,"Vélo d'intérieur","30,00","637","01:00:07","140","156","4,0","29,9","--","--","--","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","01:00:06.62","1","0,0","--","--","--","00:00:00","01:00:07","--","--"
Cyclisme sur route,2023-06-20 09:13:07,false,"Marseille - Endurance sprint","60,04","1.650","02:33:52","140","164","4,8","23,4","65,3","1.297","1.292","0,00","0,0","0,0","0","79","125","196","53% G / 47% D","147,8","224","186","788","0,0","0,0","10537","0","0","0","0:00","27,0","0:00","Non","02:33:51.62","1","37,0","34","16","45","02:31:13","02:33:52","38","362"
Cyclisme sur route,2023-06-19 07:31:32,false,"Marseille - Seuil prog 3x7-1","47,78","1.226","01:48:40","145","175","4,6","26,4","58,6","897","890","0,00","0,0","0,0","0","85","122","209","53% G / 47% D","117,9","215","190","530","0,0","0,0","8288","0","0","0","0:00","24,0","0:00","Non","01:00.00","11","29,0","35","18","52","01:48:05","01:48:40","48","326"
Cyclisme sur route,2023-06-17 06:35:19,false,"Marseille Cyclisme sur route","148,05","3.331","05:25:09","0","0","2,5","27,3","59,3","2.018","2.001","0,00","0,0","0,0","0","86","124","189","53% G / 47% D","291,7","233","176","629","0,0","0,0","24400","0","0","0","0:00","17,0","0:00","Non","05:25:09.04","1","35,0","--","--","--","05:24:37","06:04:21","31","693"
Cyclisme sur route,2023-06-16 07:46:08,false,"Marseille - Seuil prog 3x6-1","43,14","1.084","01:36:54","147","175","4,5","26,7","57,6","768","769","0,00","0,0","0,0","0","83","130","208","53% G / 47% D","104,4","208","188","564","0,0","0,0","7337","0","0","0","0:00","20,0","0:00","Non","01:00.00","11","28,0","36","21","49","01:36:52","01:37:02","49","326"
Vélo d'intérieur,2023-06-14 07:14:00,false,"Malakoff - Seuil prog 3x6-1","30,00","609","01:03:02","139","187","3,9","28,6","4,8","53","50","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","01:00.00","11","0,0","--","--","--","00:16:20","01:03:02","66","95"
Cyclisme sur route,2023-06-12 11:41:07,false,"Marseille - Récup active","54,09","1.417","02:19:34","134","160","4,2","23,3","59,1","1.185","1.176","0,00","0,0","0,0","0","81","121","177","52% G / 48% D","108,6","207","169","461","0,0","0,0","10172","0","0","0","0:00","25,0","0:00","Non","49:33.98","2","39,0","34","16","49","02:19:18","02:19:39","37","365"
Cyclisme sur route,2023-06-11 07:31:36,false,"Vaison-la-Romaine Cyclisme sur route","140,41","3.672","05:48:29","151","172","5,0","24,2","72,2","3.355","3.209","0,00","0,0","0,0","0","80","125","184","52% G / 48% D","294,4","225","182","666","0,0","0,0","24382","0","0","0","0:00","17,0","0:00","Non","35:11.100","2","34,0","36","17","48","05:48:07","06:18:43","210","1.897"
Cyclisme sur route,2023-06-11 06:21:24,false,"Malaucène Cyclisme sur route","11,48","111","00:24:01","0","0","0,4","28,7","44,3","29","168","0,00","0,0","0,0","0","72","100","93","52% G / 48% D","5,1","61","89","349","0,0","0,0","1208","0","0","0","0:00","15,0","0:00","Non","24:00.97","1","18,0","--","--","--","00:23:52","00:24:55","210","365"
Cyclisme sur route,2023-06-09 10:13:17,false,"Marseille Cyclisme sur route","28,69","757","01:08:33","143","167","3,7","25,1","59,6","541","537","0,00","0,0","0,0","0","81","129","199","54% G / 46% D","67,2","202","179","795","0,0","0,0","5216","0","0","0","0:00","23,0","0:00","Non","01:08:32.68","1","26,0","34","17","45","01:08:30","01:08:33","49","328"
Vélo d'intérieur,2023-06-07 08:09:00,false,"Malakoff - Seuil prog 3x5-1","20,00","340","00:30:49","152","180","3,8","38,9","30,8","2.437","2.436","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:04.23","11","0,0","--","--","--","00:17:25","00:30:49","-500","465"
Vélo d'intérieur,2023-06-07 07:38:00,false,"Paris - Récup active","10,00","192","00:23:06","121","160","2,5","26,0","29,1","346","323","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:02.01","2","0,0","--","--","--","00:14:29","00:30:00","-114","145"
Cyclisme sur route,2023-06-05 07:38:19,false,"Marseille - Seuil prog 3x5-1","43,18","1.061","01:36:52","145","176","4,5","26,8","58,4","777","771","0,00","0,0","0,0","0","83","154","217","53% G / 47% D","114,0","214","187","632","0,0","0,0","7169","0","0","0","0:00","16,0","0:00","Non","01:00.00","11","22,0","35","18","47","01:36:40","01:36:52","49","328"
Cyclisme sur route,2023-06-03 10:02:12,false,"Bédoin Cyclisme sur route","74,55","2.358","03:46:55","138","173","5,0","19,7","63,0","2.300","2.302","0,00","0,0","0,0","0","70","121","191","52% G / 48% D","207,3","222","187","571","0,0","0,0","13282","0","0","0","0:00","12,0","0:00","Non","03:46:54.78","1","38,0","33","13","46","03:46:43","04:16:56","178","1.897"
Cyclisme sur route,2023-06-02 11:27:08,false,"Marseille - FSM 6X4min","37,54","962","01:31:00","138","169","3,9","24,8","58,8","783","782","0,00","0,0","0,0","0","74","144","193","53% G / 47% D","84,8","181","178","623","0,0","0,0","6036","0","0","0","0:00","24,0","0:00","Non","01:00.00","20","34,0","32","17","45","01:30:53","01:31:09","47","325"
