Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Vitesse moyenne,Vitesse max,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Cadence de vélo moyenne,Cadence de vélo maximale,Normalized Power® (NP®),Equilibre G/D,Training Stress Score® (TSS®),Puissance moyenne maximale (20 min),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de mouvements,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Vélo d'intérieur,2023-06-14 07:14:00,false,"Malakoff - Seuil prog 3x6-1","30,00","609","01:03:02","139","187","3,9","28,6","4,8","53","50","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","01:00.00","11","0,0","--","--","--","00:16:20","01:03:02","66","95"
Cyclisme sur route,2023-06-12 11:41:07,false,"Marseille - Récup active","54,09","1.417","02:19:34","134","160","4,2","23,3","59,1","1.185","1.176","0,00","0,0","0,0","0","81","121","177","52% G / 48% D","108,6","207","169","461","0,0","0,0","10172","0","0","0","0:00","25,0","0:00","Non","49:33.98","2","39,0","34","16","49","02:19:18","02:19:39","37","365"
Cyclisme sur route,2023-06-11 07:31:36,false,"Vaison-la-Romaine Cyclisme sur route","140,41","3.672","05:48:29","151","172","5,0","24,2","72,2","3.355","3.209","0,00","0,0","0,0","0","80","125","184","52% G / 48% D","294,4","225","182","666","0,0","0,0","24382","0","0","0","0:00","17,0","0:00","Non","35:11.100","2","34,0","36","17","48","05:48:07","06:18:43","210","1.897"
Cyclisme sur route,2023-06-11 06:21:24,false,"Malaucène Cyclisme sur route","11,48","111","00:24:01","0","0","0,4","28,7","44,3","29","168","0,00","0,0","0,0","0","72","100","93","52% G / 48% D","5,1","61","89","349","0,0","0,0","1208","0","0","0","0:00","15,0","0:00","Non","24:00.97","1","18,0","--","--","--","00:23:52","00:24:55","210","365"
Cyclisme sur route,2023-06-09 10:13:17,false,"Marseille Cyclisme sur route","28,69","757","01:08:33","143","167","3,7","25,1","59,6","541","537","0,00","0,0","0,0","0","81","129","199","54% G / 46% D","67,2","202","179","795","0,0","0,0","5216","0","0","0","0:00","23,0","0:00","Non","01:08:32.68","1","26,0","34","17","45","01:08:30","01:08:33","49","328"
Vélo d'intérieur,2023-06-07 08:09:00,false,"Malakoff - Seuil prog 3x5-1","20,00","340","00:30:49","152","180","3,8","38,9","30,8","2.437","2.436","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:04.23","11","0,0","--","--","--","00:17:25","00:30:49","-500","465"
Vélo d'intérieur,2023-06-07 07:38:00,false,"Paris - Récup active","10,00","192","00:23:06","121","160","2,5","26,0","29,1","346","323","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:02.01","2","0,0","--","--","--","00:14:29","00:30:00","-114","145"
Cyclisme sur route,2023-06-05 07:38:19,false,"Marseille - Seuil prog 3x5-1","43,18","1.061","01:36:52","145","176","4,5","26,8","58,4","777","771","0,00","0,0","0,0","0","83","154","217","53% G / 47% D","114,0","214","187","632","0,0","0,0","7169","0","0","0","0:00","16,0","0:00","Non","01:00.00","11","22,0","35","18","47","01:36:40","01:36:52","49","328"
Cyclisme sur route,2023-06-03 10:02:12,false,"Bédoin Cyclisme sur route","74,55","2.358","03:46:55","138","173","5,0","19,7","63,0","2.300","2.302","0,00","0,0","0,0","0","70","121","191","52% G / 48% D","207,3","222","187","571","0,0","0,0","13282","0","0","0","0:00","12,0","0:00","Non","03:46:54.78","1","38,0","33","13","46","03:46:43","04:16:56","178","1.897"
Cyclisme sur route,2023-06-02 11:27:08,false,"Marseille - FSM 6X4min","37,54","962","01:31:00","138","169","3,9","24,8","58,8","783","782","0,00","0,0","0,0","0","74","144","193","53% G / 47% D","84,8","181","178","623","0,0","0,0","6036","0","0","0","0:00","24,0","0:00","Non","01:00.00","20","34,0","32","17","45","01:30:53","01:31:09","47","325"
Cyclisme sur route,2023-05-31 07:35:00,false,"Marseille - FSM 6X4min","38,76","1.000","01:33:50","142","168","4,2","24,8","61,9","786","781","0,00","0,0","0,0","0","76","139","195","52% G / 48% D","88,7","191","180","564","0,0","0,0","6329","0","0","0","0:00","22,0","0:00","Non","01:00.00","20","24,0","35","18","49","01:33:45","01:33:50","50","328"
Cyclisme sur route,2023-05-30 11:09:57,false,"Marseille Cyclisme sur route","47,41","1.098","01:58:16","128","149","3,7","24,1","58,9","802","799","0,00","0,0","0,0","0","83","122","156","54% G / 46% D","71,8","178","149","371","0,0","0,0","9060","0","0","0","0:00","25,0","0:00","Non","01:58:15.79","1","36,0","31","16","41","01:58:10","01:59:39","52","327"
Cyclisme sur route,2023-05-29 07:11:21,false,"Marseille Cyclisme sur route","154,46","3.972","06:24:14","150","173","5,0","24,1","63,9","2.890","2.887","0,00","0,0","0,0","0","82","123","188","53% G / 47% D","341,0","232","180","545","0,0","0,0","27072","0","0","0","0:00","16,0","0:00","Non","06:24:14.30","1","36,0","35","16","53","06:23:51","06:37:30","7","773"
Vélo d'intérieur,2023-05-25 07:10:00,false,"Malakoff - FSM 6X4 min HT","33,00","721","01:06:37","148","181","4,9","29,7","6,2","391","393","0,00","0,0","0,0","0","74","--","--","--","0,0","--","190","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","01:00.00","20","0,0","--","--","--","00:11:45","01:06:37","-19","138"
Cyclisme sur route,2023-05-23 12:25:30,false,"Marseille - FSM 6X4min","12,66","345","00:30:40","140","169","3,1","24,8","58,1","257","258","0,00","0,0","0,0","0","73","130","198","53% G / 47% D","29,8","196","191","643","0,0","0,0","1999","0","0","0","0:00","24,0","0:00","Non","01:00.00","7","32,0","34","19","45","00:30:18","00:30:40","50","306"
Cyclisme sur route,2023-05-22 10:28:34,false,"Marseille - Endurance rythme 3X10 min i3","59,12","1.463","02:10:44","147","173","5,0","27,1","60,7","858","861","0,00","0,0","0,0","0","86","126","201","53% G / 47% D","132,1","206","197","715","0,0","0,0","9782","0","0","0","0:00","23,0","0:00","Non","02:37.63","8","31,0","37","17","52","02:09:28","02:19:13","30","324"
Cyclisme sur route,2023-05-20 07:58:04,false,"Saint-Ferréol-d'Auroure Cyclisme sur route","93,63","2.431","03:33:17","150","171","5,0","26,3","65,8","1.667","1.680","0,00","0,0","0,0","0","84","131","197","51% G / 49% D","207,0","220","193","849","0,0","0,0","15986","0","0","0","0:00","7,0","0:00","Non","03:33:17.14","1","18,0","35","14","46","03:32:29","03:46:36","528","1.168"
Cyclisme sur route,2023-05-19 07:33:29,false,"Saint-Ferréol-d'Auroure - PMA 3x10X3030","36,27","906","01:19:11","148","170","4,2","27,5","55,7","396","342","0,00","0,0","0,0","0","82","123","215","53% G / 47% D","91,0","185","194","532","0,0","0,0","5942","0","0","0","0:00","8,0","0:00","Non","00:30.00","64","17,0","36","21","47","01:19:09","01:25:04","723","881"
Cyclisme sur route,2023-05-17 09:55:06,false,"Marseille Cyclisme sur route","56,35","1.549","02:22:36","142","173","5,0","23,7","68,3","1.331","1.299","0,00","0,0","0,0","0","77","134","201","52% G / 48% D","143,1","233","186","726","0,0","0,0","9730","0","0","0","0:00","20,0","0:00","Non","02:22:36.14","1","32,0","33","16","44","02:20:46","02:25:57","12","365"
Cyclisme sur route,2023-05-16 11:55:58,false,"Marseille - PMA 3x10X3030","29,75","752","01:11:15","139","170","3,7","25,1","58,7","592","592","0,00","0,0","0,0","0","74","117","213","52% G / 48% D","80,2","184","183","522","0,0","0,0","4676","0","0","0","0:00","23,0","0:00","Non","00:30.00","64","29,0","32","15","44","01:10:54","01:12:33","52","249"
